variable;zmienna;true;2;1
method;metoda;true;1;1
function;funkcja;true;1;1
parameter;parametr;false;0;0
array;tablica;false;0;0
loop;pętla;false;0;0
conditional statement;instrukcja warunkowa;false;0;0
algorithm;algorytm;false;0;0
data structure;struktura danych;false;0;0
object;obiekt;false;0;0
class;klasa;false;0;0
inheritance;dziedziczenie;false;0;0
polymorphism;polimorfizm;false;0;0
encapsulation;enkapsulacja;false;0;0
interface;interfejs;false;0;0
abstraction;abstrakcja;false;0;0
declaration;deklaracja;false;0;0
assignment;przypisanie;false;0;0
comparison;porównanie;false;0;0
logical;logiczny;false;0;0
arithmetic;arytmetyczny;false;0;0
increment;inkrementacja;false;0;0
decrement;dekrementacja;false;0;0
concatenation;konkatenacja;false;0;0
control;kontrola;false;0;0
definition;definicja;false;0;0
call;wywołanie;false;0;0
recursive;rekurencyjny;false;0;0
anonymous;anonimowy;false;0;0
callback;zwrotny;false;0;0
lambda;lambda;false;0;0
return;zwrot;false;0;0
passing;przekazywanie;false;0;0
indexing;indeksowanie;false;0;0
manipulation;manipulacja;false;0;0
iteration;iteracja;false;0;0
substring;podłańcuch;false;0;0
length;długość;false;0;0
regular;regularne;false;0;0
error;błąd;false;0;0
exception;wyjątek;false;0;0
debugging;debugowanie;false;0;0
break;przerwanie;false;0;0
continue;kontynuacja;false;0;0
comment;komentarz;false;0;0
single-line;jednoliniowy;false;0;0
multi-line;wieloliniowy;false;0;0
documentation;dokumentacja;false;0;0
coding;kodowanie;false;0;0
camelCase;camelCase;false;0;0
snake_case;snake_case;false;0;0
PascalCase;PascalCase;false;0;0
kebab-case;kebab-case;false;0;0
indentation;wcięcie;false;0;0
white;biała;false;0;0
syntax;składnia;false;0;0
semicolon;średnik;false;0;0
comma;przecinek;false;0;0
parentheses;nawiasy;false;0;0
brackets;nawiasy;false;0;0
curly;klamrowe;false;0;0
assignment;przypisanie;false;0;0
iteration;iteracja;false;0;0
execution;wykonanie;false;0;0
compilation;kompilacja;false;0;0
interpretation;interpretacja;false;0;0
source;kod;false;0;0
binary;kod;false;0;0
debugger;debuger;false;0;0
compiler;kompilator;false;0;0
interpreter;interpreter;false;0;0
IDE;środowisko;false;0;0
text;tekst;false;0;0
version;wersja;false;0;0
Git;Git;false;0;0
GitHub;GitHub;false;0;0
repository;repozytorium;false;0;0
branch;gałąź;false;0;0
merge;złączenie;false;0;0
conflict;konflikt;false;0;0
